Channel,DateFrom,DateTime,DateTo,identifier,Price,Section,source_timestamp
PARKMACHINE,2018-12-14T06:04:39.373Z,2018-12-14T06:04:52.277Z,2018-12-14T08:00:00.000Z,06148697-f71e-480c-a413-363f26d22690,80,P1-0446,2018-12-14 06:04:52.277
VPH,2018-12-14T06:04:31.000Z,2018-12-14T06:04:51.307Z,2018-12-14T07:40:00.000Z,14f687af-bfc7-4957-beed-25e9eb395d88,20,P6-1311,2018-12-14 06:04:51.307
PARKMACHINE,2018-12-14T06:03:32.620Z,2018-12-14T06:04:35.593Z,2018-12-14T09:00:00.000Z,3c9ee5eb-d436-4d02-a0df-68942a8aedd6,120,P2-0152,2018-12-14 06:04:35.593
VPH,2018-12-14T06:04:21.000Z,2018-12-14T06:04:35.250Z,2018-12-14T09:00:00.000Z,42b26df2-9378-4d3f-b002-1248b8a18285,20,P5-2113,2018-12-14 06:04:35.25
VPH,2018-12-14T06:04:05.000Z,2018-12-14T06:04:34.080Z,2018-12-14T14:15:00.000Z,c0a93b6a-98b7-4eab-a77c-2c5a776573d8,290,P2-0101,2018-12-14 06:04:34.08
VPH,2018-12-14T06:04:26.000Z,2018-12-14T06:04:30.690Z,2018-12-14T10:30:00.000Z,e6a29939-63e2-4296-afe9-ab9dbbcb3f10,70,P6-1419,2018-12-14 06:04:30.69
VPH,2018-12-14T06:03:34.000Z,2018-12-14T06:04:25.593Z,2018-12-14T13:40:00.000Z,cfc59ab7-ae0c-410e-a6f9-2f1f585a3dd3,100,P3-0286,2018-12-14 06:04:25.593
VPH,2018-12-14T06:02:20.000Z,2018-12-14T06:04:23.453Z,2018-12-14T10:00:00.000Z,febfdf5e-3c1b-4e49-a553-d213af4af2c9,120,P1-0249,2018-12-14 06:04:23.453
VPH,2018-12-14T06:03:11.000Z,2018-12-14T06:04:20.893Z,2018-12-14T12:30:00.000Z,c014fcf4-6a9e-4e7a-a92e-af0744bd56c0,165,P5-1468,2018-12-14 06:04:20.893
VPH,2018-12-14T06:04:05.000Z,2018-12-14T06:04:13.267Z,2018-12-14T08:00:00.000Z,99ff58aa-cff2-44ce-bb17-b116c2f05fdf,40,P2-0237,2018-12-14 06:04:13.267
VPH,2018-12-14T06:03:20.000Z,2018-12-14T06:04:12.393Z,2018-12-14T09:45:00.000Z,e58821c1-73fd-4442-8f89-22c6a2279875,110,P1-0244,2018-12-14 06:04:12.393
VPH,2018-12-14T06:03:25.000Z,2018-12-14T06:04:11.843Z,2018-12-14T07:40:00.000Z,7f5d7d69-2bf5-473e-b471-7d4e61a2a1f0,20,P8-0113,2018-12-14 06:04:11.843
VPH,2018-12-14T06:03:11.000Z,2018-12-14T06:04:00.000Z,2018-12-14T08:52:30.000Z,09e9eaec-fc47-4d61-b2f0-585e1d519ae2,75,P3-0432,2018-12-14 06:04:00.0
